ID,教科書,教科書コード,学年,ファイル単元,大単元,大単元タイトル,単元名,教科書ページ,ページ開始,ページ終了,PDF順,PDFページ,表内順,英語,日本語,重要語,重要語フラグ,注記,英日_問題,英日_答え,日英_問題,日英_答え,元PDF,読みの目安,読み確認メモ,v6正本英語,検索用基本形,変化形・別表記,v6正本日本語,語句構造,複数語フラグ,v7確認状態
11,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ2 アルファベットと英語のきまり,,,,1,1,11,like,~が好き,☆,1,,like,~が好き,~が好き,like,01.26NH1_KeyWords_Pr_英日_問題.pdf,ライク,,like,like,,~が好き,単語,0,原本保持
12,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ2 アルファベットと英語のきまり,,,,1,1,12,baseball,野球,☆,1,,baseball,野球,野球,baseball,01.26NH1_KeyWords_Pr_英日_問題.pdf,ベースボール,,baseball,baseball,,野球,単語,0,原本保持
13,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ2 アルファベットと英語のきまり,,,,1,1,13,study,~を勉強する,☆,1,,study,~を勉強する,~を勉強する,study,01.26NH1_KeyWords_Pr_英日_問題.pdf,スタディ,,study,study,,~を勉強する,単語,0,原本保持
14,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ2 アルファベットと英語のきまり,,,,1,1,14,bike,自転車,☆,1,,bike,自転車,自転車,bike,01.26NH1_KeyWords_Pr_英日_問題.pdf,バイク,,bike,bike,,自転車,単語,0,原本保持
15,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ2 アルファベットと英語のきまり,,,,1,1,15,have,~を持っている[飼っている],☆,1,,have,~を持っている[飼っている],~を持っている[飼っている],have,01.26NH1_KeyWords_Pr_英日_問題.pdf,ハブ,,have,have,,~を持っている[飼っている],単語,0,原本保持
16,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ2 アルファベットと英語のきまり,,,,1,1,16,car,自動車,☆,1,,car,自動車,自動車,car,01.26NH1_KeyWords_Pr_英日_問題.pdf,カー,,car,car,,自動車,単語,0,原本保持
17,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ2 アルファベットと英語のきまり,,,,1,1,17,one,"1, 1つの",☆,1,,one,"1, 1つの","1, 1つの",one,01.26NH1_KeyWords_Pr_英日_問題.pdf,ワン,,one,one,,"1, 1つの",単語,0,原本保持
18,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,"プレステップ3 複数形とa, my, thisなど",,,,1,1,18,"a, an",1つの[単数形の名詞につく],☆,1,,"a, an",1つの[単数形の名詞につく],1つの[単数形の名詞につく],"a, an",01.26NH1_KeyWords_Pr_英日_問題.pdf,ア、アン,,"a, an","a, an",,1つの[単数形の名詞につく],複数語,1,原本保持
19,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,"プレステップ3 複数形とa, my, thisなど",,,,1,1,19,cat,ネコ,☆,1,,cat,ネコ,ネコ,cat,01.26NH1_KeyWords_Pr_英日_問題.pdf,キャット,,cat,cat,,ネコ,単語,0,原本保持
20,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,"プレステップ3 複数形とa, my, thisなど",,,,1,1,20,my,私の,☆,1,,my,私の,私の,my,01.26NH1_KeyWords_Pr_英日_問題.pdf,マイ,,my,my,,私の,単語,0,原本保持
21,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,"プレステップ3 複数形とa, my, thisなど",,,,1,1,21,pen,ペン,☆,1,,pen,ペン,ペン,pen,01.26NH1_KeyWords_Pr_英日_問題.pdf,ペン,,pen,pen,,ペン,単語,0,原本保持
22,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,"プレステップ3 複数形とa, my, thisなど",,,,1,1,22,this,"この, これは",☆,1,,this,"この, これは","この, これは",this,01.26NH1_KeyWords_Pr_英日_問題.pdf,ディス,,this,this,,"この, これは",単語,0,原本保持
23,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,"プレステップ3 複数形とa, my, thisなど",,,,1,1,23,book,本,☆,1,,book,本,本,book,01.26NH1_KeyWords_Pr_英日_問題.pdf,ブック,,book,book,,本,単語,0,原本保持
24,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,"プレステップ3 複数形とa, my, thisなど",,,,1,1,24,that,"あの, あれは",☆,1,,that,"あの, あれは","あの, あれは",that,01.26NH1_KeyWords_Pr_英日_問題.pdf,ザット,,that,that,,"あの, あれは",単語,0,原本保持
25,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,"プレステップ3 複数形とa, my, thisなど",,,,1,1,25,bag,かばん,☆,1,,bag,かばん,かばん,bag,01.26NH1_KeyWords_Pr_英日_問題.pdf,バッグ,,bag,bag,,かばん,単語,0,原本保持
26,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,"プレステップ3 複数形とa, my, thisなど",,,,1,1,26,some,いくつかの,☆,1,,some,いくつかの,いくつかの,some,01.26NH1_KeyWords_Pr_英日_問題.pdf,サム,,some,some,,いくつかの,単語,0,原本保持
27,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,"プレステップ3 複数形とa, my, thisなど",,,,1,1,27,big,大きい,☆,1,,big,大きい,大きい,big,01.26NH1_KeyWords_Pr_英日_問題.pdf,ビッグ,,big,big,,大きい,単語,0,原本保持
28,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,"プレステップ3 複数形とa, my, thisなど",,,,1,1,28,many,[数えられる名詞の複数形につけて] たくさんの,☆,1,,many,[数えられる名詞の複数形につけて] たくさんの,[数えられる名詞の複数形につけて] たくさんの,many,01.26NH1_KeyWords_Pr_英日_問題.pdf,メニー,,many,many,,[数えられる名詞の複数形につけて] たくさんの,単語,0,原本保持
29,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,"プレステップ3 複数形とa, my, thisなど",,,,1,1,29,new,新しい,☆,1,,new,新しい,新しい,new,01.26NH1_KeyWords_Pr_英日_問題.pdf,ニュー,,new,new,,新しい,単語,0,原本保持
30,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,"プレステップ3 複数形とa, my, thisなど",,,,1,1,30,dog,イヌ,☆,1,,dog,イヌ,イヌ,dog,01.26NH1_KeyWords_Pr_英日_問題.pdf,ドッグ,,dog,dog,,イヌ,単語,0,原本保持
31,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,"プレステップ3 複数形とa, my, thisなど",,,,1,1,31,old,古い,☆,1,,old,古い,古い,old,01.26NH1_KeyWords_Pr_英日_問題.pdf,オールド,,old,old,,古い,単語,0,原本保持
32,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ4 だれが何をどうする,,,,1,1,32,we,私たちは,☆,1,,we,私たちは,私たちは,we,01.26NH1_KeyWords_Pr_英日_問題.pdf,ウィー,,we,we,,私たちは,単語,0,原本保持
33,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ4 だれが何をどうする,,,,1,1,33,play,~をする,☆,1,,play,~をする,~をする,play,01.26NH1_KeyWords_Pr_英日_問題.pdf,プレイ,,play,play,,~をする,単語,0,原本保持
34,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ4 だれが何をどうする,,,,1,1,34,they,"彼らは, それらは",☆,1,,they,"彼らは, それらは","彼らは, それらは",they,01.26NH1_KeyWords_Pr_英日_問題.pdf,ゼイ,,they,they,,"彼らは, それらは",単語,0,原本保持
35,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ4 だれが何をどうする,,,,1,1,35,clean,~をそうじする,☆,1,,clean,~をそうじする,~をそうじする,clean,01.26NH1_KeyWords_Pr_英日_問題.pdf,クリーン,,clean,clean,,~をそうじする,単語,0,原本保持
36,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ4 だれが何をどうする,,,,1,1,36,run,走る,☆,1,,run,走る,走る,run,01.26NH1_KeyWords_Pr_英日_問題.pdf,ラン,,run,run,,走る,単語,0,原本保持
37,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ4 だれが何をどうする,,,,1,1,37,make,~を作る,☆,1,,make,~を作る,~を作る,make,01.26NH1_KeyWords_Pr_英日_問題.pdf,メイク,,make,make,,~を作る,単語,0,原本保持
38,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ4 だれが何をどうする,,,,1,1,38,swim,泳ぐ,☆,1,,swim,泳ぐ,泳ぐ,swim,01.26NH1_KeyWords_Pr_英日_問題.pdf,スイム,,swim,swim,,泳ぐ,単語,0,原本保持
39,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ4 だれが何をどうする,,,,1,1,39,eat,~を食べる,☆,1,,eat,~を食べる,~を食べる,eat,01.26NH1_KeyWords_Pr_英日_問題.pdf,イート,,eat,eat,,~を食べる,単語,0,原本保持
40,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ4 だれが何をどうする,,,,1,1,40,speak,~を話す,☆,1,,speak,~を話す,~を話す,speak,01.26NH1_KeyWords_Pr_英日_問題.pdf,スピーク,,speak,speak,,~を話す,単語,0,原本保持
41,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ4 だれが何をどうする,,,,1,1,41,room,部屋,☆,1,,room,部屋,部屋,room,01.26NH1_KeyWords_Pr_英日_問題.pdf,ルーム,,room,room,,部屋,単語,0,原本保持
42,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ5 どこで(前置詞1),,,,1,1,42,in,~の中に,☆,1,,in,~の中に,~の中に,in,01.26NH1_KeyWords_Pr_英日_問題.pdf,イン,,in,in,,~の中に,単語,0,原本保持
43,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ5 どこで(前置詞1),,,,1,1,43,go to ~,~に行く,☆,1,,go to ~,~に行く,~に行く,go to ~,01.26NH1_KeyWords_Pr_英日_問題.pdf,ゴウ トゥ ～,,go to ~,go to ~,,~に行く,表現,1,原本保持
44,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ5 どこで(前置詞1),,,,1,1,44,on,~の上に,☆,1,,on,~の上に,~の上に,on,01.26NH1_KeyWords_Pr_英日_問題.pdf,オン,,on,on,,~の上に,単語,0,原本保持
45,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ5 どこで(前置詞1),,,,1,1,45,here,ここで,☆,1,,here,ここで,ここで,here,01.26NH1_KeyWords_Pr_英日_問題.pdf,ヒア,,here,here,,ここで,単語,0,原本保持
46,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ5 どこで(前置詞1),,,,1,1,46,at,~で,☆,1,,at,~で,~で,at,01.26NH1_KeyWords_Pr_英日_問題.pdf,アット,,at,at,,~で,単語,0,原本保持
47,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ5 どこで(前置詞1),,,,1,1,47,there,そこで,☆,1,,there,そこで,そこで,there,01.26NH1_KeyWords_Pr_英日_問題.pdf,ゼア,,there,there,,そこで,単語,0,原本保持
48,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ5 どこで(前置詞1),,,,1,1,48,by,[交通手段]で,☆,1,,by,[交通手段]で,[交通手段]で,by,01.26NH1_KeyWords_Pr_英日_問題.pdf,バイ,,by,by,,[交通手段]で,単語,0,原本保持
49,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ5 どこで(前置詞1),,,,1,1,49,park,公園,☆,1,,park,公園,公園,park,01.26NH1_KeyWords_Pr_英日_問題.pdf,パーク,,park,park,,公園,単語,0,原本保持
50,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ5 どこで(前置詞1),,,,1,1,50,with,~といっしょに,☆,1,,with,~といっしょに,~といっしょに,with,01.26NH1_KeyWords_Pr_英日_問題.pdf,ウィズ,,with,with,,~といっしょに,単語,0,原本保持
51,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ5 どこで(前置詞1),,,,1,1,51,school,学校,☆,1,,school,学校,学校,school,01.26NH1_KeyWords_Pr_英日_問題.pdf,スクール,,school,school,,学校,単語,0,原本保持
52,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ5 どこで(前置詞1),,,,1,1,52,meet,~に会う,☆,1,,meet,~に会う,~に会う,meet,01.26NH1_KeyWords_Pr_英日_問題.pdf,ミート,,meet,meet,,~に会う,単語,0,原本保持
53,ニューホライズン,NH,1,Pr,プレステップ,プレステップ,プレステップ5 どこで(前置詞1),,,,1,1,53,library,図書館,☆,1,,library,図書館,図書館,library,01.26NH1_KeyWords_Pr_英日_問題.pdf,ライブラリー,,library,library,,図書館,単語,0,原本保持
54,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ6 いつ(前置詞2),,,,1,2,54,in,"[年, 月, 季節]に",☆,1,,in,"[年, 月, 季節]に","[年, 月, 季節]に",in,01.26NH1_KeyWords_Pr_英日_問題.pdf,イン,,in,in,,"[年, 月, 季節]に",単語,0,原本保持
55,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ6 いつ(前置詞2),,,,1,2,55,Saturday,土曜日,☆,1,,Saturday,土曜日,土曜日,Saturday,01.26NH1_KeyWords_Pr_英日_問題.pdf,サタデイ,,Saturday,Saturday,,土曜日,単語,0,原本保持
56,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ6 いつ(前置詞2),,,,1,2,56,on,"[日, 曜日]に",☆,1,,on,"[日, 曜日]に","[日, 曜日]に",on,01.26NH1_KeyWords_Pr_英日_問題.pdf,オン,,on,on,,"[日, 曜日]に",単語,0,原本保持
57,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ6 いつ(前置詞2),,,,1,2,57,every,毎~,☆,1,,every,毎~,毎~,every,01.26NH1_KeyWords_Pr_英日_問題.pdf,エブリ,,every,every,,毎~,単語,0,原本保持
58,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ6 いつ(前置詞2),,,,1,2,58,at,[時刻]に,☆,1,,at,[時刻]に,[時刻]に,at,01.26NH1_KeyWords_Pr_英日_問題.pdf,アット,,at,at,,[時刻]に,単語,0,原本保持
59,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ6 いつ(前置詞2),,,,1,2,59,April,4月,☆,1,,April,4月,4月,April,01.26NH1_KeyWords_Pr_英日_問題.pdf,エイプリル,,April,April,,4月,単語,0,原本保持
60,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ6 いつ(前置詞2),,,,1,2,60,Wednesday,水曜日,☆,1,,Wednesday,水曜日,水曜日,Wednesday,01.26NH1_KeyWords_Pr_英日_問題.pdf,ウェンズデイ,,Wednesday,Wednesday,,水曜日,単語,0,原本保持
61,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ6 いつ(前置詞2),,,,1,2,61,July,7月,☆,1,,July,7月,7月,July,01.26NH1_KeyWords_Pr_英日_問題.pdf,ジュライ,,July,July,,7月,単語,0,原本保持
62,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ6 いつ(前置詞2),,,,1,2,62,Thursday,木曜日,☆,1,,Thursday,木曜日,木曜日,Thursday,01.26NH1_KeyWords_Pr_英日_問題.pdf,サーズデイ,,Thursday,Thursday,,木曜日,単語,0,原本保持
63,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ6 いつ(前置詞2),,,,1,2,63,summer,夏,☆,1,,summer,夏,夏,summer,01.26NH1_KeyWords_Pr_英日_問題.pdf,サマー,,summer,summer,,夏,単語,0,原本保持
64,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ6 いつ(前置詞2),,,,1,2,64,Friday,金曜日,☆,1,,Friday,金曜日,金曜日,Friday,01.26NH1_KeyWords_Pr_英日_問題.pdf,フライデイ,,Friday,Friday,,金曜日,単語,0,原本保持
65,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ6 いつ(前置詞2),,,,1,2,65,winter,冬,☆,1,,winter,冬,冬,winter,01.26NH1_KeyWords_Pr_英日_問題.pdf,ウィンター,,winter,winter,,冬,単語,0,原本保持
66,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ7 be動詞,,,,1,2,66,am-are-is,~です(be動詞),☆,1,,am-are-is,~です(be動詞),~です(be動詞),am-are-is,01.26NH1_KeyWords_Pr_英日_問題.pdf,アム・アー・イズ,,am-are-is,am-are-is,,~です(be動詞),単語,0,原本保持
67,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ7 be動詞,,,,1,2,67,brother,"兄, 弟, 兄弟",☆,1,,brother,"兄, 弟, 兄弟","兄, 弟, 兄弟",brother,01.26NH1_KeyWords_Pr_英日_問題.pdf,ブラザー,,brother,brother,,"兄, 弟, 兄弟",単語,0,原本保持
68,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ7 be動詞,,,,1,2,68,he,彼は,☆,1,,he,彼は,彼は,he,01.26NH1_KeyWords_Pr_英日_問題.pdf,ヒー,,he,he,,彼は,単語,0,原本保持
69,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ7 be動詞,,,,1,2,69,sister,"姉, 妹, 姉妹",☆,1,,sister,"姉, 妹, 姉妹","姉, 妹, 姉妹",sister,01.26NH1_KeyWords_Pr_英日_問題.pdf,シスター,,sister,sister,,"姉, 妹, 姉妹",単語,0,原本保持
70,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ7 be動詞,,,,1,2,70,she,彼女は,☆,1,,she,彼女は,彼女は,she,01.26NH1_KeyWords_Pr_英日_問題.pdf,シー,,she,she,,彼女は,単語,0,原本保持
71,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ7 be動詞,,,,1,2,71,friend,友だち,☆,1,,friend,友だち,友だち,friend,01.26NH1_KeyWords_Pr_英日_問題.pdf,フレンド,,friend,friend,,友だち,単語,0,原本保持
72,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ7 be動詞,,,,1,2,72,teacher,先生,☆,1,,teacher,先生,先生,teacher,01.26NH1_KeyWords_Pr_英日_問題.pdf,ティーチャー,,teacher,teacher,,先生,単語,0,原本保持
73,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ7 be動詞,,,,1,2,73,busy,いそがしい,☆,1,,busy,いそがしい,いそがしい,busy,01.26NH1_KeyWords_Pr_英日_問題.pdf,ビジー,,busy,busy,,いそがしい,単語,0,原本保持
74,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ7 be動詞,,,,1,2,74,father,"父, お父さん",☆,1,,father,"父, お父さん","父, お父さん",father,01.26NH1_KeyWords_Pr_英日_問題.pdf,ファーザー,,father,father,,"父, お父さん",単語,0,原本保持
75,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ7 be動詞,,,,1,2,75,free,ひまな,☆,1,,free,ひまな,ひまな,free,01.26NH1_KeyWords_Pr_英日_問題.pdf,フリー,,free,free,,ひまな,単語,0,原本保持
76,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ7 be動詞,,,,1,2,76,mother,"母, お母さん",☆,1,,mother,"母, お母さん","母, お母さん",mother,01.26NH1_KeyWords_Pr_英日_問題.pdf,マザー,,mother,mother,,"母, お母さん",単語,0,原本保持
77,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ7 be動詞,,,,1,2,77,these,"これらは, これらの",☆,1,,these,"これらは, これらの","これらは, これらの",these,01.26NH1_KeyWords_Pr_英日_問題.pdf,ジーズ,,these,these,,"これらは, これらの",単語,0,原本保持
78,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ8 一般動詞,,,,1,2,78,read,~を読む,☆,1,,read,~を読む,~を読む,read,01.26NH1_KeyWords_Pr_英日_問題.pdf,リード,,read,read,,~を読む,単語,0,原本保持
79,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ8 一般動詞,,,,1,2,79,lunch,昼食,☆,1,,lunch,昼食,昼食,lunch,01.26NH1_KeyWords_Pr_英日_問題.pdf,ランチ,,lunch,lunch,,昼食,単語,0,原本保持
80,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ8 一般動詞,,,,1,2,80,use,~を使う,☆,1,,use,~を使う,~を使う,use,01.26NH1_KeyWords_Pr_英日_問題.pdf,ユーズ,,use,use,,~を使う,単語,0,原本保持
81,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ8 一般動詞,,,,1,2,81,dinner,夕食,☆,1,,dinner,夕食,夕食,dinner,01.26NH1_KeyWords_Pr_英日_問題.pdf,ディナー,,dinner,dinner,,夕食,単語,0,原本保持
82,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ8 一般動詞,,,,1,2,82,watch,~を見る,☆,1,,watch,~を見る,~を見る,watch,01.26NH1_KeyWords_Pr_英日_問題.pdf,ウォッチ,,watch,watch,,~を見る,単語,0,原本保持
83,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ8 一般動詞,,,,1,2,83,tennis,テニス,☆,1,,tennis,テニス,テニス,tennis,01.26NH1_KeyWords_Pr_英日_問題.pdf,テニス,,tennis,tennis,,テニス,単語,0,原本保持
84,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ8 一般動詞,,,,1,2,84,know,~を知っている,☆,1,,know,~を知っている,~を知っている,know,01.26NH1_KeyWords_Pr_英日_問題.pdf,ノウ,,know,know,,~を知っている,単語,0,原本保持
85,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ8 一般動詞,,,,1,2,85,boy,"男の子, 少年",☆,1,,boy,"男の子, 少年","男の子, 少年",boy,01.26NH1_KeyWords_Pr_英日_問題.pdf,ボーイ,,boy,boy,,"男の子, 少年",単語,0,原本保持
86,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ8 一般動詞,,,,1,2,86,his,彼の,☆,1,,his,彼の,彼の,his,01.26NH1_KeyWords_Pr_英日_問題.pdf,ヒズ,,his,his,,彼の,単語,0,原本保持
87,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ8 一般動詞,,,,1,2,87,girl,"女の子, 少女",☆,1,,girl,"女の子, 少女","女の子, 少女",girl,01.26NH1_KeyWords_Pr_英日_問題.pdf,ガール,,girl,girl,,"女の子, 少女",単語,0,原本保持
88,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ8 一般動詞,,,,1,2,88,her,彼女の,☆,1,,her,彼女の,彼女の,her,01.26NH1_KeyWords_Pr_英日_問題.pdf,ハー,,her,her,,彼女の,単語,0,原本保持
89,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ8 一般動詞,,,,1,2,89,after,~のあとに,☆,1,,after,~のあとに,~のあとに,after,01.26NH1_KeyWords_Pr_英日_問題.pdf,アフター,,after,after,,~のあとに,単語,0,原本保持
90,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ9 can,,,,1,2,90,can,~できる,☆,1,,can,~できる,~できる,can,01.26NH1_KeyWords_Pr_英日_問題.pdf,キャン,,can,can,,~できる,単語,0,原本保持
91,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ9 can,,,,1,2,91,computer,コンピュータ,☆,1,,computer,コンピュータ,コンピュータ,computer,01.26NH1_KeyWords_Pr_英日_問題.pdf,コンピューター,,computer,computer,,コンピュータ,単語,0,原本保持
92,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ9 can,,,,1,2,92,can't[cannot],~できない,☆,1,,can't[cannot],~できない,~できない,can't[cannot],01.26NH1_KeyWords_Pr_英日_問題.pdf,キャント（キャノット）,,can't[cannot],can't[cannot],,~できない,単語,0,原本保持
93,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ9 can,,,,1,2,93,homework,宿題,☆,1,,homework,宿題,宿題,homework,01.26NH1_KeyWords_Pr_英日_問題.pdf,ホームワーク,,homework,homework,,宿題,単語,0,原本保持
94,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ9 can,,,,1,2,94,buy,~を買う,☆,1,,buy,~を買う,~を買う,buy,01.26NH1_KeyWords_Pr_英日_問題.pdf,バイ,,buy,buy,,~を買う,単語,0,原本保持
95,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ9 can,,,,1,2,95,piano,ピアノ,☆,1,,piano,ピアノ,ピアノ,piano,01.26NH1_KeyWords_Pr_英日_問題.pdf,ピアノ,,piano,piano,,ピアノ,単語,0,原本保持
96,ニューホライズン,NH,1,Pr,プレステップ,,プレステップ9 can,,,,1,2,96,write,~を書く,☆,1,,write,~を書く,~を書く,write,01.26NH1_KeyWords_Pr_英日_問題.pdf,ライト,,write,write,,~を書く,単語,0,原本保持
